section,period_type,period_key,date,segment_start,segment_end,segment_type,pause_reason,note,duration_minutes,work_minutes,pause_minutes,total_minutes,category,category_minutes
segment,,,2026-07-01,2026-07-01T19:18:58.802Z,2026-07-01T19:19:11.297Z,work,,,0.21,,,,,
segment,,,2026-07-01,2026-07-01T19:19:11.297Z,2026-07-01T19:19:12.215Z,pause,Bathroom,,0.02,,,,,
segment,,,2026-07-01,2026-07-01T19:19:12.215Z,2026-07-01T19:19:19.913Z,work,,,0.13,,,,,
segment,,,2026-07-01,2026-07-01T19:19:19.913Z,2026-07-01T19:19:25.537Z,pause,Admin,,0.09,,,,,
segment,,,2026-07-01,2026-07-01T19:19:25.537Z,2026-07-01T19:19:32.207Z,work,,,0.11,,,,,
segment,,,2026-07-01,2026-07-01T19:19:32.207Z,2026-07-01T19:19:32.599Z,pause,Admin,,0.01,,,,,
segment,,,2026-07-01,2026-07-01T19:34:21.332Z,2026-07-01T19:34:35.871Z,work,,,0.24,,,,,
segment,,,2026-07-01,2026-07-01T19:34:35.871Z,2026-07-01T19:34:50.339Z,pause,Bathroom,,0.24,,,,,
segment,,,2026-07-01,2026-07-01T19:34:50.339Z,2026-07-01T19:35:14.956Z,work,,,0.41,,,,,
segment,,,2026-07-01,2026-07-01T19:35:14.956Z,2026-07-01T19:41:20.978Z,pause,Other,,6.1,,,,,
segment,,,2026-07-01,2026-07-01T19:50:35.791Z,2026-07-01T19:51:48.745Z,work,,,1.22,,,,,
segment,,,2026-07-01,2026-07-01T19:51:48.745Z,2026-07-01T19:56:40.011Z,pause,Break,,4.85,,,,,
segment,,,2026-07-01,2026-07-01T19:56:40.011Z,2026-07-01T19:59:29.727Z,work,,,2.83,,,,,
summary,day,2026-07-01,,,,,,,,5.15,11.31,16.46,,
category_summary,day,2026-07-01,,,,,,,,,,,Bathroom,0.26
category_summary,day,2026-07-01,,,,,,,,,,,Admin,0.1
category_summary,day,2026-07-01,,,,,,,,,,,Other,6.1
category_summary,day,2026-07-01,,,,,,,,,,,Break,4.85
summary,week,2026-06-28,,,,,,,,5.15,11.31,16.46,,
category_summary,week,2026-06-28,,,,,,,,,,,Bathroom,0.26
category_summary,week,2026-06-28,,,,,,,,,,,Admin,0.1
category_summary,week,2026-06-28,,,,,,,,,,,Other,6.1
category_summary,week,2026-06-28,,,,,,,,,,,Break,4.85
summary,month,2026-07,,,,,,,,5.15,11.31,16.46,,
category_summary,month,2026-07,,,,,,,,,,,Bathroom,0.26
category_summary,month,2026-07,,,,,,,,,,,Admin,0.1
category_summary,month,2026-07,,,,,,,,,,,Other,6.1
category_summary,month,2026-07,,,,,,,,,,,Break,4.85